DefendersInBox,teamName,season,rushing_yards,ypc,yards_over_expected,epa,count,freq
6,Arizona Cardinals,2018,507,3.7,-1.21,-0.11068630079710146,138,0.42
6,Atlanta Falcons,2018,543,4.3,-0.49,-0.024459582539682535,126,0.39
6,Baltimore Ravens,2018,846,5.2,0.44,0.039212700617283956,162,0.32
6,Buffalo Bills,2018,733,4.2,-0.61,-0.07495000801136363,176,0.44
6,Carolina Panthers,2018,1056,5.4,0.77,0.0767021775257732,194,0.52
6,Chicago Bears,2018,1074,4.8,-0.02,0.06734811584070796,226,0.55
6,Cincinnati Bengals,2018,890,5.2,0.37,0.02483822284883721,172,0.52
6,Cleveland Browns,2018,714,4.8,-0.01,-0.031405342837837844,148,0.4
6,Dallas Cowboys,2018,730,4.6,-0.01,-0.03304906146496815,157,0.4
6,Denver Broncos,2018,773,5.7,0.91,0.025677128148148147,135,0.36
6,Detroit Lions,2018,734,4.9,0.19,0.01835107885906041,149,0.39
6,Green Bay Packers,2018,992,5,0.22,0.0367867402020202,198,0.69
6,Houston Texans,2018,640,3.8,-0.94,-0.08390791676646706,167,0.41
6,Indianapolis Colts,2018,968,5.2,0.48,0.0531904376344086,186,0.52
6,Jacksonville Jaguars,2018,660,4.4,-0.46,-0.009091312052980124,151,0.43
6,Kansas City Chiefs,2018,1167,6,1.31,0.11713457717948718,195,0.56
6,Los Angeles Chargers,2018,843,5.4,0.68,0.07539143683870968,155,0.41
6,Los Angeles Rams,2018,1234,5.6,0.95,0.14544968721461188,219,0.52
6,Miami Dolphins,2018,1060,4.7,-0.15,-0.10459785362831858,226,0.65
6,Minnesota Vikings,2018,652,4.6,-0.23,-0.11785940422535211,142,0.43
6,New England Patriots,2018,756,5.1,0.39,0.06700032281879195,149,0.33
6,New Orleans Saints,2018,843,5.1,0.52,0.12176094133333333,165,0.38
6,New York Giants,2018,770,5.5,0.77,0.04939065714285714,140,0.41
6,New York Jets,2018,746,4.4,-0.41,-0.08187112608187135,171,0.45
6,Oakland Raiders,2018,871,5,0.23,0.004717924712643681,174,0.47
6,Philadelphia Eagles,2018,763,4.1,-0.63,-0.07543316725806451,186,0.5
6,Pittsburgh Steelers,2018,704,4.8,-0.06,0.0183286677027027,148,0.47
6,San Francisco 49ers,2018,562,4.9,0.21,0.008555450434782605,115,0.29
6,Seattle Seahawks,2018,1300,5.2,0.36,0.06769416571992032,251,0.51
6,Tampa Bay Buccaneers,2018,545,3.7,-1.03,-0.1613017287755102,147,0.46
6,Tennessee Titans,2018,546,5.1,0.22,0.07916511481481481,108,0.26
6,Washington Redskins,2018,800,4.5,-0.25,-0.011615733898305084,177,0.49
