teamName,season,ypc,expected_yards,yards_over_expected,epa,count
Arizona Cardinals,2018,3.6,4.4,-0.75,-0.09698702225903615,332
Atlanta Falcons,2018,4.5,4.3,0.17,-0.06137530837920489,327
Baltimore Ravens,2018,4.6,4.2,0.43,0.04776239921936759,506
Buffalo Bills,2018,3.5,4.3,-0.79,-0.0610661129280397,403
Carolina Panthers,2018,5.1,4.2,0.86,0.07288752229946524,374
Chicago Bears,2018,4,4.4,-0.44,-0.03101641927007299,411
Cincinnati Bengals,2018,4.6,4.4,0.21,-0.015095937294832827,329
Cleveland Browns,2018,4.5,4.3,0.19,-0.02385847191644205,371
Dallas Cowboys,2018,4.5,4.3,0.23,0.0548001338790932,397
Denver Broncos,2018,4.9,4.3,0.64,0.04016366013477089,371
Detroit Lions,2018,4.1,4.2,-0.11,-0.03516772272965879,381
Green Bay Packers,2018,4.6,4.5,0.07,0.0258602123183391,289
Houston Texans,2018,4,4.3,-0.27,-0.05017321982673267,404
Indianapolis Colts,2018,4.4,4.3,0.09,-0.007434966925207759,361
Jacksonville Jaguars,2018,3.8,4.3,-0.55,-0.09906581658263305,357
Kansas City Chiefs,2018,4.8,4.3,0.46,0.049418657614942525,348
Los Angeles Chargers,2018,4.9,4.3,0.6,0.07774455517150396,379
Los Angeles Rams,2018,5.1,4.3,0.84,0.11483579385167464,418
Miami Dolphins,2018,4.7,4.6,0.09,-0.05727254691428571,350
Minnesota Vikings,2018,4.2,4.3,-0.09,-0.07625852749244713,331
New England Patriots,2018,4.5,4.1,0.4,0.026874288964757707,454
New Orleans Saints,2018,4.6,4,0.55,0.06735097743707094,437
New York Giants,2018,4.7,4.2,0.5,0.024036158430232556,344
New York Jets,2018,3.9,4.4,-0.43,-0.12179810883289124,377
Oakland Raiders,2018,4.3,4.3,0.05,-0.05538105065395096,367
Philadelphia Eagles,2018,4,4.3,-0.27,-0.01672967075880759,369
Pittsburgh Steelers,2018,4.2,4.3,-0.02,-0.003979154141955838,317
San Francisco 49ers,2018,4.6,4.2,0.45,-0.05644174467005076,394
Seattle Seahawks,2018,4.7,4.4,0.29,0.048318254909221314,488
Tampa Bay Buccaneers,2018,3.5,4.3,-0.76,-0.1138093597204969,322
Tennessee Titans,2018,4.3,4.1,0.22,-0.0019107973722627721,411
Washington Redskins,2018,4.1,4.4,-0.26,0.016130382032967034,364
